,공급,공기,그라인더,기계,라인,바닥,발화,밸브,번지,부위,분경,불꽃,불씨,비산,산소,상반신,상의,상태,선_,소재,에어,연결,옷_,용접,용접기,우측,인화,자켓,작업복,장갑,잭_,절단기,제작,조끼,주입,준비,중공업,중앙,진화,착용,체결,취부,치료,폭발,해임,현장,호스,화상,확산
제작,1,4,0,0,2,0,1,2,0,0,1,3,0,0,7,2,1,0,0,0,3,3,0,2,0,0,1,0,1,0,0,0,3,8,4,0,0,0,0,1,1,1,0,1,1,0,0,2,0
조끼,3,21,5,0,6,0,3,12,0,0,8,13,0,0,37,12,2,0,0,6,24,19,3,7,0,0,0,0,0,0,5,0,8,55,21,0,2,1,0,9,3,0,2,7,3,1,3,13,0
주입,1,13,0,0,4,0,1,8,0,0,5,8,0,0,18,4,0,2,0,1,6,6,0,10,0,0,0,0,2,0,0,0,4,21,16,2,1,0,0,5,1,0,1,4,1,0,4,6,0
준비,0,1,0,0,7,0,0,1,0,1,1,3,0,1,7,0,0,1,0,0,0,5,1,3,0,2,0,0,1,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,3,2,0
중공업,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,2,1,0,3,1,0,0,0,1,1,1,0,0,1,2,0
중앙,1,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,1,3,6,2,1,0,0,0,1,1,0,3,0,0,1,0,0,1,3,0,0,0,0,1,0,0,1,1,2,0
진화,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,6,2,2
착용,0,8,2,0,1,0,0,5,0,0,8,8,1,1,9,2,0,7,1,1,14,7,0,17,0,0,0,11,6,0,0,0,1,9,5,1,0,0,0,22,0,1,0,1,0,0,3,7,0
체결,1,1,0,3,8,0,1,0,0,0,2,1,0,0,11,1,0,0,0,0,5,2,0,4,0,0,0,4,0,0,0,2,1,3,1,0,0,0,0,0,14,2,0,2,1,3,12,7,0
취부,0,0,0,0,0,0,1,0,0,0,3,1,2,0,6,0,1,2,1,0,2,3,1,6,0,0,1,9,2,0,0,2,1,0,0,0,1,0,0,1,2,6,0,1,0,0,3,3,0
치료,2,1,1,2,0,2,1,0,2,0,4,0,0,1,5,0,0,1,1,4,5,8,0,3,0,0,0,2,1,3,0,0,0,2,1,0,1,1,0,0,0,0,5,1,1,1,6,5,0
폭발,0,4,0,0,0,0,0,2,0,0,2,1,0,1,7,1,1,0,0,2,3,4,0,6,0,0,0,3,0,0,0,1,1,7,4,0,1,0,0,1,2,1,1,4,0,0,1,3,0
해임,2,1,1,0,2,2,1,0,1,0,1,1,0,1,4,1,0,1,0,1,5,1,0,0,0,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,1,0,3,0,2,2,0
현장,0,1,0,4,2,2,2,0,2,2,3,0,0,0,8,0,0,2,0,2,1,7,3,1,3,0,0,0,0,2,4,0,0,1,0,0,0,1,2,0,3,0,1,0,0,11,14,8,0
호스,1,3,1,12,11,13,11,3,4,3,23,11,5,1,39,1,1,4,2,8,18,21,3,14,4,7,4,8,3,12,0,2,0,3,4,3,1,1,6,3,12,3,6,1,2,14,96,33,11
화상,6,10,2,4,10,3,9,2,3,2,13,15,2,3,35,2,3,5,1,9,13,16,8,14,5,3,2,8,6,4,9,2,2,13,6,2,2,2,2,7,7,3,5,3,2,8,33,40,6
확산,0,0,0,0,0,1,0,1,0,0,4,3,0,0,7,0,0,0,0,0,0,1,1,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,6,8
