,가슴,강서구,건물,건조,건조기,결과,경남,교반,교체,그라인더,근무,기름,김해시,당사,당일,도포,메탄올,모터,물질,미상,바닥,반응,발견,발화,배관,번_,번지,베스티,보수,부산시,부위,부주의,분경,불길,불꽃,불량,불씨,사내,사이,상기,상태,선박,세척,소리,소재,소화,손등,송정동,수리,숙소,스위치,스파크,시경,시설,시작,신체,실험실,안전,알코올,양손,업체,열_,오일,옷_,용기,용접,용해로,원료,유증,인화,일부,자동차,작동,작업복,잔류,장갑,전기,전신,전원,절단,점검,접촉,정박,정비,정전기,제거,제조,제품,조선,조치,준비,중단,지시,차량,착용,추정,탈출,탱크,투입,포장,피재,피해,허벅지,현장,호기,화기,화상,회사
잔류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,1,1,2,0,1,1,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
장갑,3,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,4,3
전기,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,4,1
전신,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,1
전원,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,2,1
절단,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,4,0,3,0,0,0,0,1,2,3,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,3,1,0,0,0,0,10,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,3,3,0
점검,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,1,0,0,0,0,2,0
접촉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,3,0,1,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
정박,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0
정비,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,2,0
정전기,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,2,0,0,2,4,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,1,0,0,2,1,0,1,1,0,1,10,0,3,3,0,2,1,0,0,0,3,1,0,0,3,2,0,1,0,2,1,1,5,2
