,기계,난로,부품,분경,세척,신나,장갑,제품,채_,페인트,현장,화상,회사
기계,6,3,2,1,3,11,2,0,0,0,1,4,1
난로,3,12,3,4,10,13,8,1,0,0,5,1,1
부품,2,3,3,1,3,6,5,0,1,1,1,3,1
분경,1,4,1,5,5,9,4,1,0,0,2,0,1
세척,3,10,3,5,15,16,8,1,0,0,4,0,1
신나,11,13,6,9,16,60,21,4,6,7,9,14,6
장갑,2,8,5,4,8,21,34,2,11,6,4,8,0
제품,0,1,0,1,1,4,2,3,0,0,1,1,1
채_,0,0,1,0,0,6,11,0,6,3,0,3,0
페인트,0,0,1,0,0,7,6,0,3,4,1,3,0
현장,1,5,1,2,4,9,4,1,0,1,5,0,0
화상,4,1,3,0,0,14,8,1,3,3,0,10,3
회사,1,1,1,1,1,6,0,1,0,0,0,3,3
